t/AU/n,['town']
iz/@/nt,"[""isn't""]"
fl/O/s,['floss']
h/@/n/j/z,['henize']
w/@/rkt,['worked']
/tS/i/N/,"[""ch'ing""]"
kr/O/st,['crossed']
sk/I/N/k,['skink']
dAlkr/O/z,['dalcroze']
m/&/tS/,['match']
mAkmA/O/N,['macmahon']
n/Oi/z,"['noyes', 'noise']"
h/u/tS/,"['hootch', 'hooch']"
b/@/gz,['bugs']
w/@/rm,['worm']
n/Oi/l,['noil']
bl/@/n/dZ/,['blunge']
n/aI/t,"['knight', 'night']"
/oU/rt,['ort']
/oU/rz,['oars']
/oU/rd,['oared']
p/A/p,['pop']
/T/&/n,['tanh']
p/&/lp,['palp']
k/AU/ld,['cowled']
sn/E/kt,['snecked']
kw/@/rt,['quirt']
mus/@/nt,"[""mustn't""]"
kw/@/rk,"['quirk', 'quark']"
s/@/rks,['circs']
kw/@/rn,['quern']
r/u/z,"['roose', 'ruse']"
/tS/U/k,['chook']
/S/i/z,"[""she's""]"
r/u/p,['roup']
r/u/t,"['route', 'root']"
st/eI/k,"['steak', 'stake']"
r/u/n,['rune']
r/u/l,['rule']
r/u/m,"['rheum', 'room']"
r/u/b,['rube']
r/u/f,['roof']
r/u/d,"['rood', 'rude']"
pAs/i/,['passy']
p/A/l,['pawl']
h/O/n/tS/,['haunch']
sk/I/mp,['skimp']
d/@/rst,['durst']
r/E/S/t,['resht']
l/u/z,['lose']
k/E/tS/,['ketch']
l/u/t,"['loot', 'lute']"
st/eI/d,"['staid', 'stade']"
l/u/p,"['lupe', 'loupe', 'loop']"
l/u/s,"['luce', 'loose', 'loos']"
l/u/m,['loom']
l/u/n,"['loon', 'lown', 'loun', 'lune']"
l/u/k,['luke']
l/u/d,"['leud', 'lewd']"
l/u/f,['loof']
s/oU/rs,['source']
l/u/b,['lube']
tr/aI/,['try']
skr/&/tS/,['scratch']
/j/esmam,"[""yes_ma'am""]"
sk/oU/r,"['score', 'scaur']"
sk/oU/p,['scope']
g/I/S/,['gish']
sw/i/ps,['sweeps']
v/Oi/t,['voyt']
fr/oU/,"['fro', 'froe', 'frow']"
d/E/bz,['debs']
v/Oi/d,['void']
m/O/T/,['moth']
sw/i/,['sui']
v/Oi/l,['voile']
/dZ/I/N/k,['jink']
spr/A/g,['sprog']
v/AU/,['vow']
str/i/k,"['streak', 'streek']"
l/Oi/,['loy']
r/@/N/,"['wrung', 'rung']"
str/i/m,['stream']
/eI/mz,['ames']
drO/@/,['drau']
str/i/t,['street']
tw/I/n/dZ/,['twinge']
m/oU/r,['more']
k/i/ts,['keats']
m/oU/v,['mauve']
m/oU/t,"['moat', 'mote']"
m/oU/k,['moke']
/S/l/A/k,['schlock']
m/oU/n,"['moan', 'mon']"
m/oU/m,['mome']
m/oU/l,"['mole', 'mol']"
s/i/dZ/,['siege']
w/@/n,"['won', 'one']"
m/oU/g,['moog']
m/oU/d,['mode']
/eI/twAl,['etoiles']
/dZ/i/nz,['jeans']
l/@/nWAr,['lenoir']
/dZ/i/ns,['jeans']
bl/@/S/,['blush']
w/I/ns,['wince']
w/I/nz,['winze']
r/eI/dZ/,['rage']
w/I/nd,"['wind/n', 'wind']"
tr/E/n/tS/,['trench']
gr/@/tS/,['grutch']
dr/E/dZ/,['dredge']
n/O/,['gnaw']
pr/O/n,['prawn']
tout/j/e,"[""t'ao_t'ieh""]"
w/&/ks,['wax']
sp/A/,['spa']
t/eI/n,"['tain', ""ta'en""]"
t/eI/l,"['tale', 'taille', 'tail', 'tael']"
t/eI/m,['tame']
t/eI/k,['take']
tr/&/N/k,['trank']
st/u/dZ/,['stooge']
tw/I/st,['twist']
h/&/nts,['hants']
t/eI/t,['tate']
t/eI/p,['tape']
sp/@/rn,['spurn']
sp/@/rm,['sperm']
sp/@/rd,['spurred']
sp/@/rt,"['spurt', 'spirt']"
/tS/i/ld,['chield']
b/&/N/ks,['banks']
k/@/rst,"['curst', 'kerst']"
g/i/st,['geest']
kl/u/f,['kloof']
/A/ntWAn,['antoine']
fl/eI/,"['fley', 'flay']"
k/&/lst,['calced']
w/A/rk,['wark']
tArn,['tarn']
tArb,['tarbes']
tArd,['tarde']
n/AU/t,['knout']
n/AU/d,['nowed']
b/&/N/,"['bang', 'bhang']"
n/AU/m,['naum']
n/AU/n,['noun']
kr/oU/m,['chrome']
kr/oU/n,['crone']
sw/AU/nd,['swound']
kr/oU/k,['croak']
kr/oU/z,['croze']
kr/oU/r,['crore']
b/@/dZ/,['budge']
bAr/O/N,['baron']
t/O/st,['tost']
f/j/E/ld,['fjeld']
fl/O/d,['flawed']
kr/A/tS/,['crotch']
fr/AU/z,['fraus']
k/O/rdz,['cords']
fr/AU/n,['frown']
w/@/z,['was']
b/&/l,['bal']
b/&/k,['back']
w/@/r,"['whir', 'wear', 'were', 'ware', 'where', 'whirr']"
b/&/d,"['bad', 'bade']"
b/&/g,['bag']
b/&/f,"['baff', 'barf']"
w/@/t,['what']
l/@/n/tS/,['lunch']
b/&/t,"['bat', 'batt']"
/E/lvz,['elves']
b/&/s,['bass']
n/O/n,['gnawn']
n/O/f,['knauff']
n/O/r,"['knorr', 'nor']"
n/O/s,['knous']
n/O/t,['nought']
h/i/rz,"[""here's""]"
r/i/st,"['reist', 'reest']"
handzbred/T/,"[""hand's-breadth""]"
pl/@/S/,['plush']
/S/Arl/@/rWA,['charleroi']
st/eI/vd,['staved']
l/u/Z/,['luge']
h/aI/d,"['hide', 'hyde']"
h/aI/l,['heil']
h/aI/m,['haym']
h/aI/k,"['haick', 'haik', 'haec', 'huic', 'hike', 'yoicks', 'hoick']"
w/I/S/,"['wish', 'whish']"
h/aI/v,['hive']
h/aI/t,"['hyte', 'hight', 'height']"
h/aI/r,['hire']
h/aI/s,['heis']
h/aI/p,['hype']
g/oU/nd,['gond']
r/aI/nd,"['rind', 'rynd']"
s/O/rb,['sorb']
d/AU/,"['douw', 'dau', 'dhow', 'tao', 'dow', 'dou']"
gl/eI/d,['glade']
fl/A/p,['flop']
f/O/rb,['forb']
fl/A/k,"['floc', 'flock']"
gl/eI/z,['glaze']
f/O/rk,['fork']
gl/eI/v,"['glave', 'glaive']"
fl/A/g,['flog']
skr/@/n/tS/,['scrunch']
sk/A/rvz,['scarves']
f/E/n,['fen']
f/E/l,['fell']
g/oU/sts,['ghosts']
str/@/nt,['strunt']
s/E/T/,"['saith', 'seth']"
f/E/f,['feoff']
f/E/d,['fed']
sl/O/T/,['sloth']
v/I/nt,['vint']
kr/I/n/dZ/,['cringe']
f/E/z,['fez']
v/I/ns,['vince']
f/E/t,['fet']
f/E/s,['fess']
n/A/k,"['knock', 'nock']"
spl/aI/s,['splice']
/D/eI/d,"[""they'd""]"
t/&/N/kt,['tanked']
n/A/m,['nam']
n/A/b,"['knob', 'nob']"
n/A/g,"['nog', 'nogg']"
n/A/d,['nod']
k/AU/nt,"['count', 'compt']"
n/A/r,"['knar', 'gnar']"
n/A/p,['knop']
b/&/kt,['backed']
b/&/ks,['bax']
n/A/t,"['not', 'naught', 'knot', 'nat']"
spl/aI/n,['spline']
k/I/N/z,['kings']
kw/A/d,"['quad', 'quod']"
kw/A/f,"['coif', 'quaff']"
kw/A/m,['qualm']
k/I/N/k,['kink']
/S/&/lt,['shalt']
r/A/,"['ra', 'rah']"
v/U/rm,['wurm']
s/E/dZ/d,['sedged']
sk/&/mp,['scamp']
fr/eI/,"['frae', 'frei', 'fray']"
sk/@/r/dZ/,['scourge']
tw/eI/n,['twain']
bl/E/n/tS/,['blench']
r/u/T/,"['ruth', 'routh']"
kl/A/mp,['clomp']
m/oU/rn,['mourn']
tw/eI/t,['thwaite']
kr/i/ps,['creeps']
dr/i/mz,['dreams']
l/j/oU/D/,['ljod']
b/I/l/dZ/,['bilge']
tr/aI/k,['trike']
l/I/n/tS/,"['linch', 'lynch']"
darest,"[""d'arrest""]"
lAl/oU/,['lalo']
/T/i/bz,['thebes']
gl/&/s,['glass']
gl/&/d,['glad']
p/U/nt,['punt']
s/oU/ld,['sold']
gl/&/m,['glam']
kw/&/nt,['quant']
skAr/O/N,['scarron']
/dZ/j/AU/,"['chiao', 'jiao']"
fr/aI/z,['fries']
sl/&/nt,['slant']
fr/aI/t,['fright']
sp/&/N/,['spang']
b/eI/,"['bey', 'bay']"
fr/aI/d,['fried']
f/i/z,"['feaze', 'feeze']"
f/i/r,"['fehr', 'fear', 'fere']"
f/i/s,['fils']
f/i/t,"['feet', 'feat']"
f/i/l,"['feel', 'feal']"
f/i/b,"['pheb', 'feeb']"
bl/&/nd,['bland']
f/i/f,['fief']
f/i/d,['feed']
fl/Oi/,['floy']
f/O/rm,"['form', 'forme']"
s/E/dZ/,['sedge']
pr/I/mp,['primp']
l/O/st,['lost']
h/@/mf,['humph']
h/@/mp,['hump']
w/I/ld,['willed']
/T/r/I/l,['thrill']
f/i/ldz,['fields']
/@/ks,['aix']
kr/@/S/,['crush']
dr/AU/t,['drought']
dr/AU/z,['drowse']
g/E/nt,['ghent']
k/u/s,['coos']
k/u/r,['coerr']
k/u/p,['coop']
k/u/t,['coot']
k/u/z,['coups']
k/u/f,"['coof', 'cuif']"
kl/A/rk,['clark']
k/u/k,"['cook', 'kook']"
k/u/n,"['coon', 'kuhn']"
k/u/m,"['coomb', 'qom', 'cwm', 'combe', 'coom']"
k/u/l,['cool']
br/I/ks,['brix']
r/aI/z,['rise']
r/aI/p,['ripe']
r/aI/s,['rice']
r/aI/t,"['write', 'wright', 'rite', 'right']"
r/aI/v,['rive']
r/aI/k,"['ryke', 'reich', 'reik']"
r/aI/l,['rile']
r/aI/m,"['rime', 'rhyme']"
r/aI/n,['rhine']
t/&/tS/,['tache']
r/aI/d,['ride']
r/aI/f,['rife']
w/E/dZ/d,['wedged']
m/&/ns,['manse']
m/&/nd,['manned']
b/eI/st,['baste']
skr/oU/ld,['scrolled']
sm/@/g,['smug']
h/&/vz,['halves']
f/E/m,['feme']
s/A/nd,['sonde']
f/E/k,['feck']
p/u/,['pooh']
f/&/ts,['fats']
l/E/pt,['leapt']
b/oU/st,['boast']
m/O/NtAn/j/Ak,['montagnac']
s/u/lt,['soult']
d/A/NbWAZ,"[""d'amboise""]"
str/A/p,['strop']
/O/,"['awe', 'aw']"
l/I/T/,['lith']
spl/&/t,['splat']
Ar/S/b/A/N,"['archbanc', 'archebanc']"
dw/eI/n,"['duane', 'dwayne']"
lAb/i/S/,['labiche']
n/AU/,"['knowe', 'now']"
h/E/dz,['heads']
sk/@/N/k,['skunk']
/tS/A/r,"['char', 'charr']"
/tS/A/p,"['chop', 'chap']"
/tS/A/n,"[""ch'an""]"
/tS/A/k,['chock']
/Z/u/v,['jouve']
br/I/N/,['bring']
tr/i/st,['triste']
kr/i/l,['creel']
kr/i/m,"['crim', 'cream']"
t/aI/d,"['tide', 'tied']"
kr/i/k,"['creak', 'creek', 'kriek']"
kr/i/d,['creed']
sm/i/r,['smear']
t/aI/n,['tine']
t/aI/l,['tile']
t/aI/m,"['thyme', 'time']"
sm/i/k,['smeek']
t/aI/s,"['theiss', 'tice']"
t/aI/p,['type']
t/aI/t,['tight']
sm/i/l,['smyl']
kr/i/t,"['crete', 'crit']"
kr/i/p,['creep']
kr/i/s,"['crease', 'creese', 'kris']"
s/&/N/k,['sank']
bl/@/rt,['blurt']
t/aI/mz,['times']
gAr,['gard']
bl/@/rb,['blurb']
b/A/f,['boff']
b/A/g,['bog']
g/oU/ld,['gold']
b/A/b,['bob']
b/A/n,"['ban', 'bonn']"
b/A/l,"['baale', 'basle', 'baal']"
b/A/m,"['bombe', 'balm', 'bomb']"
b/A/k,['bock']
At/E/r,['a_terre']
b/A/v,['badb']
b/A/t,"['bot', 'bott', 'baht']"
b/A/r,"['bahr', 'bar']"
b/A/s,['boss']
b/A/p,['bop']
b/A/z,['boz']
h/AU/,"['how', 'howe']"
bAz/&/N,['bazin']
w/u/,['woo']
w/U/lf,"['wolfe', 'wolf', 'woolf']"
f/E/nks,['fenks']
/oU/g/j/st,['auguste']
/dZ/Oi/st,['joist']
n/A/sp,['knosp']
sm/A/rt,['smart']
m/AU/D/z,['mouths']
b/y/m,['bohm']
sm/A/rm,['smarm']
eksi/N/,"[""x'ing""]"
d/@/n/S/,['dunch']
dr/&/N/k,['drank']
f/I/tS/,['fitch']
l/I/N/kt,['linked']
m/u/t,['moot']
m/u/v,['move']
p/oU/r/tS/,['porch']
/AU/rz,['ours']
m/u/n,['moon']
m/u/d,['mood']
/j/u/T/,['youth']
br/u/d,['brood']
n/oU/z,['nose']
br/u/m,"['broom', 'brume']"
b/&/mf,['banff']
br/u/t,"['brut', 'brute', 'bruit']"
br/u/s,['bruce']
bl/&/st,['blast']
br/u/z,['bruise']
d/@/N/k,['dunk']
/T/I/N/k,['think']
/A/pt,['opt']
/A/ps,['ops']
vAlAd/O/N,['valadon']
kl/E/n/tS/,['clench']
p/I/l/tS/,['pilch']
k/I/N/,['king']
v/aI/nd,['vined']
/dZ/i/z,['jeez']
/dZ/i/r,['jeer']
/dZ/i/p,['jeep']
/dZ/i/n,"['jean', 'gene']"
st/@/N/,['stung']
p/j/u/l,['pule']
p/j/u/k,['puke']
g/E/T/,['geth']
p/j/u/s,['puce']
t/A/A/l,['taal']
kr/U/k,['crook']
/dZ/AU/ns,['jounce']
sk/@/rl,['skirl']
f/&/N/,['fang']
sk/@/rf,['scurf']
sk/eI/ld,['scaled']
sk/@/rt,['skirt']
sk/@/rs,['scarce']
t/&/lk,['talc']
d/E/ft,['deft']
/S/i/psbit,"[""sheep's-bit""]"
w/eI/r,['wair']
w/eI/v,"['waive', 'wave']"
w/eI/t,"['waite', 'weight', 'wait']"
w/eI/z,"['ways', 'wase']"
r/@/st,['rust']
t/E/st,['test']
w/eI/f,['waif']
/S/l/E/p,['schlepp']
w/eI/d,['wade']
w/eI/k,['wake']
w/eI/n,"['wayne', 'wain', 'wane']"
w/eI/m,['wame']
w/eI/l,"['wale', 'whale', 'wail']"
l/j/A/N/,['liang']
kl/@/r,"['clare', 'claire', 'clair']"
m/A/k,"['moc', 'mock', 'mach']"
m/A/m,"['malm', 'mom']"
m/A/l,"['moll', 'maul']"
m/A/n,"['man', 'mon', 'mann', 'maun']"
st/&/p,['stap']
m/A/b,['mob']
m/A/d,"['maud', 'mod']"
m/A/g,['mog']
kl/@/b,['club']
st/&/k,['stack']
kl/@/f,['clough']
kl/@/k,"['cluck', 'kluck']"
m/A/p,"['mop', 'mopp']"
st/&/b,['stab']
m/A/t,"['motte', 'mott']"
st/&/g,"['stag', 'stagg']"
st/&/f,"['staph', 'staff']"
k/O/rs,['corse']
p/oU/tS/,['poach']
fAr/u/S/,['farouche']
t/u/ts,['toots']
skw/@/rt,['squirt']
g/&/st,['ghast']
g/&/sp,['gasp']
k/O/rf,['corf']
k/O/rk,['cork']
k/O/rm,['corm']
k/O/rn,['corn']
k/O/rS,['corse']
f/I/f/T/,['fifth']
l/I/st,"['liszt', 'list']"
br/A/b,['brob']
l/I/sp,['lisp']
br/A/k,"['brock', 'broch', 'braque']"
br/A/m,['brom']
n/i/r,"['near', 'nier']"
n/i/s,"['niece', 'nice']"
n/i/p,"['neap', 'neep', 'neanderthaloid']"
m/I/N/ks,['minx']
n/i/t,['neat']
n/i/d,"['need', 'knead']"
n/i/l,"['neal', 'neil', 'kneel']"
st/&/fs,['staffs']
g/E/lt,['gelt']
/dZ/oU/v,['jove']
/@/mp,['ump']
tr/eI/,"['trey', 'tray']"
g/E/ld,['geld']
/dZ/oU/b,['job']
/aI/vz,['ives']
/dZ/oU/k,['joke']
/dZ/oU/l,['jole']
/dZ/oU/n,['joan']
gl/i/d,"['glede', 'gleed']"
gl/i/b,['glebe']
gl/i/n,['glean']
gl/i/m,['gleam']
gl/i/k,['gleek']
gl/i/t,['gleet']
p/Oi/,['poi']
st/@/mp,['stump']
bl/AU/s,['blouse']
d/aI/r,['dire']
d/aI/s,"['dice', 'dyce']"
d/aI/v,['dive']
d/aI/t,['dight']
d/aI/z,['dies']
daNd/i/,"[""d'indy""]"
d/aI/k,"['dike', 'dyke']"
d/aI/n,"['dine', 'dyne']"
v/E/dZ/,['veg']
d/aI/m,['dime']
t/O/k,['talk']
t/O/l,['tall']
t/O/r,"['tor', 'torr']"
t/O/t,"['taught', 'taut']"
t/O/z,['taws']
gl/oU/t,['gloat']
sw/u/n,['swoon']
s/A/lt,['salt']
s/A/lv,['solve']
gl/oU/z,['gloze']
h/U/kt,['hooked']
gl/oU/b,['globe']
gl/oU/m,['gloam']
spr/&/g,['sprag']
k/eI/,"['cayes', 'kay', 'quai', 'cay', 'k']"
/dZ/aI/n,['jain']
t/E/ns,['tense']
t/E/nt,['tent']
spr/&/t,['sprat']
k/O/lmAr,['colmar']
n/A/ns,['nonce']
t/E/nd,['tend']
s/eI/dZ/,['sage']
/T/&/N/k,['thank']
gl/U/k,['gluck']
/S/p/eI/,['spee']
n/O/rs,['norse']
l/i/S/,['leash']
/dZ/aI/b,"['gibe', 'gybe', 'jibe']"
n/O/rm,['norm']
m/@/sk,['musk']
tw/I/t,['twit']
s/I/kst,['sixte']
m/I/T/,['myth']
tw/I/g,['twig']
tw/I/l,['twill']
tw/I/n,['twin']
drag/@/nztu/N/,"[""dragon's-tongue""]"
d/@/rm,['derm']
d/@/rn,"['dern', 'durn']"
k/O/,['coo']
d/@/rk,"['dirk', 'duerk']"
gr/oU/,"['gros', 'grow']"
d/@/rt,['dirt']
d/@/rv,['derv']
t/U/S/,"['tusche', 'tush']"
z/I/N/k,['zinc']
k/I/S/,['kish']
p/O/n/tS/,['paunch']
gw/aI/n,['gwine']
h/E/lmd,['helmed']
r/E/t/tS/,['wretch']
br/AU/n,"['brown', 'braun', 'browne']"
t/u/b,['tube']
pl/i/t,['pleat']
t/u/l,"['tool', 'tulle', 'toul']"
pl/i/z,['please']
t/u/n,"['toon', 'thun', 'tune']"
t/u/k,['tuque']
t/u/t,['toot']
pl/i/b,['plebe']
/oU/,"['eaux', 'oh', 'owe', 'o', 'au', 'eau']"
br/AU/z,['browse']
AtrW/A/,['a_trois']
st/&/N/k,['stank']
d/O/nt,['daunt']
dArl/A/N,['darlan']
pr/oU/z,['prose']
sk/oU/ps,['scopes']
/j/A/N/,['yang']
pr/oU/n,['prone']
pr/oU/m,['prome']
pr/oU/l,['prole']
pr/oU/b,['probe']
m/I/N/,['ming']
kap/@/m,"[""cap'n""]"
gr/A/m,['gram']
/dZ/Oi/,['joy']
f/A/kst,['foxed']
/dZ/@/t,['jut']
skr/@/mp,['scrump']
l/aI/ts,['lights']
f/&/kt,['fact']
h/E/ft,['heft']
fl/&/S/,['flash']
w/E/r/S/,['wersh']
pl/eI/j/Ad,['pleiade']
spr/u/,['sprue']
sl/AU/,['slough']
skr/eI/p,['scrape']
t/A/,['ta']
sl/E/pt,['slept']
/oU/ts,['oates']
g/aI/st,['geist']
l/i/vz,['leaves']
b/I/g,"['big', 'bigg']"
l/i/vd,['leaved']
/A/rt,['art']
/A/rp,['arp']
k/U/rg,"['kurg', 'coorg']"
/A/rs,['arse']
/A/rm,['arm']
/A/rn,['arne']
/A/rk,"['arc', 'ark']"
/A/rd,['ard']
fl/A/N/,['flong']
pw/&/NtnwAr,['pointe-noire']
fl/@/N/,['flung']
st/O/n/tS/,['stanch']
p/oU/n,['pone']
w/@/rd,"['word', ""where'd""]"
h/E/,['heh']
d/I/b,['dib']
fl/&/ps,['flaps']
tr/O/l,['trawl']
r/&/sk,['rask']
t/@/rkshed,"[""turk's-head""]"
v/E/kst,['vexed']
r/A/mp,['romp']
/T/r/&/S/,['thrash']
p/O/n,['pawn']
p/O/l,"['paul', 'pall']"
gl/aI/m,['glime']
gl/aI/d,['glide']
m/O/Nd,['monde']
p/O/z,['pause']
k/oU/st,['coast']
fr/O/st,['frost']
d/&/md,['damned']
sk/O/,['skaw']
d/&/mp,['damp']
/tS/E/kt,['checked']
/tS/oU/r,['chore']
/tS/oU/t,['choate']
f/A/,['fa']
g/O/lts,['goltz']
b/i/ld,['bield']
b/I/gz,['biggs']
/tS/oU/k,['choke']
sl/Oi/d,['sloid']
/tS/oU/n,['chon']
b/@/l/dZ/,['bulge']
n/@/rts,['nerts']
tr/A/d,['trod']
d/I/n/dZ/,['dinge']
tr/A/f,['trough']
/S/u/,"['shtreimel', 'shue', 'shoe', 'chou', 'shoo']"
tr/A/t,['trot']
b/@/rks,['berks']
b/u/r/Z/,['bourges']
pl/&/n/tS/,['planch']
w/eI/st,"['waste', 'waist']"
l/@/nt,['lunt']
Al/O/st,['alost']
b/aI/,"['bayh', 'buy', 'bye', 'by', 'bai']"
/tS/w/i/,['twi']
br/I/gz,['briggs']
/oU/lAr,['aulard']
sm/u/dZ/,['smoodge']
kr/O/n/tS/,['craunch']
/j/E/l,['yell']
/j/E/n,['yen']
r/@/mp,['rump']
/i/tS/,"['eche', 'each']"
pl/AU/,"['plow', 'plough']"
/j/E/g,['yegg']
k/j/u/b,['cube']
/j/E/t,"['yett', 'yet']"
/j/E/p,['yep']
/j/E/r,"['jer', 'hyeres']"
/j/E/s,['yes']
kw/eI/,"['qua', 'quey']"
/j/A/,"['ja', 'yah']"
f/AU/l,"['fowl', 'foul']"
t/eI/,"['tae', 'tay']"
/dZ/I/nd,['ginned']
s/O/ft,['soft']
tr/E/nd,['trend']
r/u/st,['roost']
fr/I/l,['frill']
fr/I/k,['frick']
sYZAn,['suzanne']
fr/I/g,"['frig', 'frigg']"
b/A/rbd,['barbed']
fr/I/z,"['frizz', 'friz']"
fr/I/t,['frit']
b/@/rt,"['bert', 'birt', 'burt']"
b/@/rs,"['birse', 'burse']"
b/@/rp,['burp']
b/@/rn,"['burn', 'byrne', 'beirne', 'bairn', 'bern', 'berne']"
b/@/rl,"['byrle', 'byrl', 'burl', 'birle', 'birl', 'berl']"
b/@/rm,['berm']
st/O/l,['stall']
b/@/rk,"['birk', 'berk', 'burke']"
b/@/rg,"['berg', 'burg', 'burgh']"
b/@/rd,"['burd', 'baird', 'bird', 'burred', 'byrd']"
fr/A/g,['frog']
fr/A/m,"['fromm', 'fromme']"
fr/A/k,['frock']
pr/u/d,['prude']
d/&/N/,['dang']
gzAv/j/eI/,['xavier']
d/@/ls,['dulse']
/eI/,"['a', 'ae', 'eh', 'aye', 'ay', 'ay/inj']"
t/aI/k,"['tike', 'tyke']"
br/i/z,['breeze']
kr/&/tS/,['cratch']
br/i/v,['breve']
/T/j/u/,['thew']
br/i/t,['brit']
br/i/m,['bream']
k/i/T/,['keith']
br/i/f,['brief']
br/i/d,"['breed', 'brede']"
s/i/n,"['scene', 'sin']"
s/i/m,"['seem', 'seam']"
s/i/l,"['ceil', 'seel', 'seal']"
s/i/k,"['sieck', 'seek', 'sikh']"
fr/Oi/d,['freud']
/S/eI/pt,['shaped']
sw/A/n,['swan']
sw/A/b,"['swob', 'swab']"
d/@/rnd,['durned']
sl/u/S/,['sloosh']
s/i/z,"['seise', 'seize']"
sw/A/p,"['swop', 'swap']"
s/i/t,['seat']
s/i/s,['cease']
f/&/lks,['falx']
h/aI/vz,['hives']
s/Oi/,['soy']
k/E/n/tS/,['kench']
b/E/s,"['bes', 'bess']"
fYn,['fyn']
f/i/S/,['fiche']
b/E/t,"['beth', 'bet', 'bett']"
b/E/k,['beck']
b/E/n,"['ben', 'benn']"
br/@/S/,['brush']
b/E/l,"['bael', 'beal', 'bell', 'bel', 'belle']"
m/O/rWA,['maurois']
b/E/g,['beg']
b/E/d,['bed']
pl/@/N/k,['plunk']
kr/I/mp,['crimp']
m/@/rznest,"[""mare's-nest""]"
h/A/N/,['hong']
/dZ/E/nt,['gent']
h/@/N/,['hung']
/oU/D/z,['oaths']
/dZ/E/nz,['gens']
br/u/,"['brew', 'broo']"
l/aI/vz,['lives']
m/i/t,"['meet', 'meat', 'mete']"
/T/r/@/S/,['thrush']
m/i/z,['mise']
mAl/i/n,['malines']
w/@/rst,"['worst', 'wurst']"
m/i/d,"['meed', 'meade', 'mead', 'mede']"
w/aI/,"['y', 'hwai', 'wye', 'why']"
m/E/S/,['mesh']
m/i/k,['meek']
m/i/l,['meal']
m/i/n,"['mean', 'mesne', 'mien']"
sw/aI/ps,['swipes']
k/&/Nt,['quinte']
sw/A/tS/,['swatch']
s/&/NnAzAr,['st_nazaire']
tr/Oi/,['troy']
st/eI/D/,['staithe']
s/E/nd,"['scend', 'send']"
k/&/N/,['cangue']
s/E/nt,"['scent', 'cent', 'sent']"
sk/u/lmam,"[""schoolma'am""]"
s/E/ns,"['cense', 'sense']"
/dZ/u/s,['juice']
w/A/ft,['wafd']
/dZ/u/p,['jupe']
fr/u/t,['fruit']
l/i/pt,['leaped']
/Z/E/r,['gers']
fr/u/g,['frug']
skr/eI/,['scray']
fr/u/d,['froude']
/dZ/u/k,"['jook', 'jouk']"
sn/oU/,['snow']
/dZ/u/n,['june']
/dZ/u/l,['joule']
w/I/lt,['wilt']
w/O/r,['waur']
br/E/s,['bres']
gr/eI/nd,['grained']
gr/eI/nz,['grains']
w/O/f,['waugh']
br/E/n,['brengun']
w/O/k,"['wauk', 'walk']"
w/O/l,['wall']
/E/lk,['elk']
kw/O/rts,['quartz']
w/E/ns,['whence']
kr/aI/ps,['cripes']
w/E/nt,['went']
/E/lf,['elf']
s/E/dst,['saidst']
k/AU/tS/,['couch']
w/E/nd,['wend']
n/j/O/r/T/,['njorth']
AnAb/A/z,['anabase']
s/U/r,['sur']
s/U/t,['soot']
spr/I/ts,['spritz']
z/aI/m,['zyme']
pr/@/r,['prayer']
z/AU/ndz,['zounds']
/S/r/I/N/k,['shrink']
pl/A/p,['plop']
l/&/D/z,['laths']
p/j/E/r,['pierre']
sw/A/mp,['swamp']
pl/A/d,['plod']
bl/E/nt,['blent']
/y/j/Ad,"['oeillade', 'oeillades']"
bl/E/nd,"['blende', 'blend']"
gr/I/ts,['grits']
m/E/m,['mem']
m/E/l,"['mel', 'mell']"
sn/i/z,['sneeze']
m/E/n,['men']
skw/i/z,['squeeze']
/S/m/@/k,['schmuck']
m/E/g,['meg']
l/E/ks,['lex']
skw/i/k,['squeak']
v/aI/bz,['vibes']
m/E/t,['met']
m/E/v,['mev']
sn/i/d,['snead']
m/E/s,['mess']
skr/i/k,['screak']
g/i/dZ/,['guige']
h/E/n/tS/,['hench']
skr/i/m,"['scream', 'scrim']"
skr/i/b,['scribe']
f/oU/rd,['ford']
skr/i/d,['screed']
f/oU/rs,['force']
dr/AU/n,['drown']
f/oU/rt,['fort']
m/A/N/S/,['manche']
w/A/r,['war']
w/A/p,"['wop', 'whap', 'wap']"
m/I/st,['mist']
w/A/b,['wab']
w/A/d,['wad']
ro/N/@/n,"[""wrong'un""]"
w/A/n,"['wan', 'juan', 'hwan']"
st/@/N/k,['stunk']
d/A/ks,['dax']
/S/aI/,['shy']
gr/A/ts,['graz']
r/&/pt,['rapt']
d/E/ns,['dense']
h/@/sk,['husk']
p/A/t/S/,['potch']
st/O/kt,['stalked']
kl/A/rt,['clart']
/S/i/D/,['sheathe']
bl/I/nts,"['blintz', 'blintze']"
b/u/S/Ar,['bouchard']
kw/oU/,['quo']
f/i/nd,['fiend']
r/eI/T/,['wraith']
sl/@/N/k,['slunk']
fl/@/r,"['flare', 'fleur', 'flair']"
k/&/mp,['camp']
fl/@/d,['flood']
v/i/t,['vite']
fl/@/f,['fluff']
t/E/kst,['text']
kr/i/,['cree']
b/i/S/A,['bichat']
/&/ps,['apse']
/j/@/rn,['yearn']
/&/pt,['apt']
sl/&/S/t,['slashed']
n/@/b,['nub']
t/i/z,"['tees', 'tease']"
t/i/r,['tyr']
t/i/t,['teat']
n/@/n,"['nun', 'non']"
n/@/m,['numb']
n/@/l,['null']
n/@/r,"['knur', ""ne'er""]"
